Year,Age,StagYear,Form,LastSeen,AgeClass,animal,y_form,p_form,e_form,ABS,ABSY,ABSP,ABSO,Code
1974,6,1839_1974,2.5,9,1,ALTOS,2.5,NA,NA,NA,NA,NA,NA,1839
1975,7,1839_1975,2.5,9,1,ALTOS,2.5,NA,NA,NA,NA,NA,NA,1839
1977,9,1839_1977,4.5,9,2,ALTOS,NA,4.5,NA,NA,NA,NA,NA,1839
2007,5,3145_2007,5,5,1,AND02,5,NA,NA,NA,NA,NA,NA,3145
2005,3,3145_2005,5,5,1,AND02,5,NA,NA,NA,NA,NA,NA,3145
2021,5,3478_2021,6,5,1,ASB16,6,NA,NA,0,0,NA,NA,3478
2019,3,3478_2019,3.75,5,1,ASB16,3.75,NA,NA,0,0,NA,NA,3478
2020,4,3478_2020,5,5,1,ASB16,5,NA,NA,0,0,NA,NA,3478
2005,10,380_2005,6,10,2,AST95,NA,6,NA,NA,NA,NA,NA,380
1998,3,380_1998,3.25,10,1,AST95,3.25,NA,NA,NA,NA,NA,NA,380
1999,4,380_1999,3.25,10,1,AST95,3.25,NA,NA,NA,NA,NA,NA,380
2000,5,380_2000,5,10,1,AST95,5,NA,NA,0,0,NA,NA,380
2001,6,380_2001,4.5,10,1,AST95,4.5,NA,NA,1,1,NA,NA,380
2002,7,380_2002,5,10,1,AST95,5,NA,NA,0,0,NA,NA,380
2003,8,380_2003,5.5,10,2,AST95,NA,5.5,NA,1,NA,1,NA,380
2004,9,380_2004,6,10,2,AST95,NA,6,NA,NA,NA,NA,NA,380
2006,15,4120_2006,4,15,3,ATH91,NA,NA,4,NA,NA,NA,NA,4120
1994,3,4120_1994,4,15,1,ATH91,4,NA,NA,0,0,NA,NA,4120
1995,4,4120_1995,4,15,1,ATH91,4,NA,NA,0,0,NA,NA,4120
1996,5,4120_1996,4,15,1,ATH91,4,NA,NA,2,2,NA,NA,4120
1997,6,4120_1997,4.5,15,1,ATH91,4.5,NA,NA,0,0,NA,NA,4120
1998,7,4120_1998,4,15,1,ATH91,4,NA,NA,3,3,NA,NA,4120
1999,8,4120_1999,4.5,15,2,ATH91,NA,4.5,NA,2,NA,2,NA,4120
2000,9,4120_2000,4,15,2,ATH91,NA,4,NA,4,NA,4,NA,4120
2001,10,4120_2001,4,15,2,ATH91,NA,4,NA,0,NA,0,NA,4120
2002,11,4120_2002,4,15,2,ATH91,NA,4,NA,4,NA,4,NA,4120
2003,12,4120_2003,5,15,3,ATH91,NA,NA,5,4,NA,NA,4,4120
2004,13,4120_2004,5,15,3,ATH91,NA,NA,5,0,NA,NA,0,4120
2005,14,4120_2005,4,15,3,ATH91,NA,NA,4,0,NA,NA,0,4120
1996,12,4144_1996,4.5,12,3,AVO84,NA,NA,4.5,NA,NA,NA,NA,4144
1987,3,4144_1987,4,12,1,AVO84,4,NA,NA,NA,NA,NA,NA,4144
1988,4,4144_1988,4,12,1,AVO84,4,NA,NA,NA,NA,NA,NA,4144
1989,5,4144_1989,5,12,1,AVO84,5,NA,NA,NA,NA,NA,NA,4144
1990,6,4144_1990,5,12,1,AVO84,5,NA,NA,1,1,NA,NA,4144
1991,7,4144_1991,5,12,1,AVO84,5,NA,NA,7,7,NA,NA,4144
1992,8,4144_1992,4.5,12,2,AVO84,NA,4.5,NA,1,NA,1,NA,4144
1993,9,4144_1993,5,12,2,AVO84,NA,5,NA,7,NA,7,NA,4144
1994,10,4144_1994,5.5,12,2,AVO84,NA,5.5,NA,6,NA,6,NA,4144
1995,11,4144_1995,6,12,2,AVO84,NA,6,NA,4,NA,4,NA,4144
2001,8,1163_2001,4,8,2,BERTI,NA,4,NA,2,NA,2,NA,1163
1994,13,1854_1994,5.650000095,13,3,BLC81,NA,NA,5.650000095,NA,NA,NA,NA,1854
1984,3,1854_1984,4.5,13,1,BLC81,4.5,NA,NA,NA,NA,NA,NA,1854
1985,4,1854_1985,4.5,13,1,BLC81,4.5,NA,NA,NA,NA,NA,NA,1854
1986,5,1854_1986,5,13,1,BLC81,5,NA,NA,0,0,NA,NA,1854
1987,6,1854_1987,6,13,1,BLC81,6,NA,NA,NA,NA,NA,NA,1854
1988,7,1854_1988,6,13,1,BLC81,6,NA,NA,0,0,NA,NA,1854
1989,8,1854_1989,5.5,13,2,BLC81,NA,5.5,NA,0,NA,0,NA,1854
1990,9,1854_1990,6.5,13,2,BLC81,NA,6.5,NA,1,NA,1,NA,1854
1991,10,1854_1991,6,13,2,BLC81,NA,6,NA,2,NA,2,NA,1854
1993,12,1854_1993,6,13,3,BLC81,NA,NA,6,NA,NA,NA,NA,1854
1992,11,1854_1992,6.5,13,2,BLC81,NA,6.5,NA,0,NA,0,NA,1854
1975,3,4534_1975,2,8,1,BLT72,2,NA,NA,NA,NA,NA,NA,4534
1976,4,4534_1976,2,8,1,BLT72,2,NA,NA,NA,NA,NA,NA,4534
1977,5,4534_1977,4,8,1,BLT72,4,NA,NA,0,0,NA,NA,4534
1978,6,4534_1978,4,8,1,BLT72,4,NA,NA,0,0,NA,NA,4534
1979,7,4534_1979,4,8,1,BLT72,4,NA,NA,0,0,NA,NA,4534
1980,8,4534_1980,4.5,8,2,BLT72,NA,4.5,NA,NA,NA,NA,NA,4534
2010,6,278_2010,4,6,1,BOM04,4,NA,NA,NA,NA,NA,NA,278
2009,5,278_2009,4,6,1,BOM04,4,NA,NA,0,0,NA,NA,278
2007,3,278_2007,3.5,6,1,BOM04,3.5,NA,NA,0,0,NA,NA,278
1976,8,962_1976,3.5,12,2,BOSSS,NA,3.5,NA,NA,NA,NA,NA,962
1974,6,962_1974,6.5,12,1,BOSSS,6.5,NA,NA,NA,NA,NA,NA,962
1975,7,962_1975,6,12,1,BOSSS,6,NA,NA,NA,NA,NA,NA,962
1977,9,962_1977,7,12,2,BOSSS,NA,7,NA,NA,NA,NA,NA,962
1978,10,962_1978,6.25,12,2,BOSSS,NA,6.25,NA,NA,NA,NA,NA,962
1979,11,962_1979,5.75,12,2,BOSSS,NA,5.75,NA,NA,NA,NA,NA,962
1980,12,962_1980,7,12,3,BOSSS,NA,NA,7,NA,NA,NA,NA,962
1973,5,962_1973,6,12,1,BOSSS,6,NA,NA,NA,NA,NA,NA,962
1976,6,5749_1976,2,12,1,BRANN,2,NA,NA,NA,NA,NA,NA,5749
1974,4,5749_1974,4.75,12,1,BRANN,4.75,NA,NA,NA,NA,NA,NA,5749
1975,5,5749_1975,4,12,1,BRANN,4,NA,NA,NA,NA,NA,NA,5749
1977,7,5749_1977,4.125,12,1,BRANN,4.125,NA,NA,NA,NA,NA,NA,5749
1978,8,5749_1978,3.5,12,2,BRANN,NA,3.5,NA,NA,NA,NA,NA,5749
1979,9,5749_1979,3.75,12,2,BRANN,NA,3.75,NA,NA,NA,NA,NA,5749
1980,10,5749_1980,4,12,2,BRANN,NA,4,NA,NA,NA,NA,NA,5749
1981,11,5749_1981,3.5,12,2,BRANN,NA,3.5,NA,NA,NA,NA,NA,5749
1982,12,5749_1982,3.875,12,3,BRANN,NA,NA,3.875,NA,NA,NA,NA,5749
1973,3,5749_1973,3.5,12,1,BRANN,3.5,NA,NA,NA,NA,NA,NA,5749
1976,10,2120_1976,1.5,12,2,BREAC,NA,1.5,NA,NA,NA,NA,NA,2120
1974,8,2120_1974,3.5,12,2,BREAC,NA,3.5,NA,NA,NA,NA,NA,2120
1975,9,2120_1975,3,12,2,BREAC,NA,3,NA,NA,NA,NA,NA,2120
1977,11,2120_1977,3,12,2,BREAC,NA,3,NA,NA,NA,NA,NA,2120
1978,12,2120_1978,4,12,3,BREAC,NA,NA,4,NA,NA,NA,NA,2120
1973,7,2120_1973,3.375,12,1,BREAC,3.375,NA,NA,NA,NA,NA,NA,2120
2005,15,1601_2005,6.5,15,3,BRG90,NA,NA,6.5,NA,NA,NA,NA,1601
1993,3,1601_1993,3.5,15,1,BRG90,3.5,NA,NA,NA,NA,NA,NA,1601
1994,4,1601_1994,4.25,15,1,BRG90,4.25,NA,NA,0,0,NA,NA,1601
1998,8,1601_1998,7,15,2,BRG90,NA,7,NA,NA,NA,NA,NA,1601
1999,9,1601_1999,2.5,15,2,BRG90,NA,2.5,NA,NA,NA,NA,NA,1601
2002,12,1601_2002,7,15,3,BRG90,NA,NA,7,NA,NA,NA,NA,1601
1997,7,1601_1997,2,15,1,BRG90,2,NA,NA,NA,NA,NA,NA,1601
2010,4,1255_2010,4,4,1,BSY06,4,NA,NA,NA,NA,NA,NA,1255
1976,9,3033_1976,2.25,11,2,BUDDY,NA,2.25,NA,NA,NA,NA,NA,3033
1974,7,3033_1974,5.75,11,1,BUDDY,5.75,NA,NA,NA,NA,NA,NA,3033
1975,8,3033_1975,5,11,2,BUDDY,NA,5,NA,NA,NA,NA,NA,3033
1977,10,3033_1977,4.5,11,2,BUDDY,NA,4.5,NA,NA,NA,NA,NA,3033
1978,11,3033_1978,5,11,2,BUDDY,NA,5,NA,NA,NA,NA,NA,3033
1973,6,3033_1973,5.5,11,1,BUDDY,5.5,NA,NA,NA,NA,NA,NA,3033
1975,3,1154_1975,2,11,1,BUL72,2,NA,NA,NA,NA,NA,NA,1154
1977,5,1154_1977,4,11,1,BUL72,4,NA,NA,0,0,NA,NA,1154
1978,6,1154_1978,4,11,1,BUL72,4,NA,NA,0,0,NA,NA,1154
1979,7,1154_1979,3.5,11,1,BUL72,3.5,NA,NA,0,0,NA,NA,1154
1980,8,1154_1980,4,11,2,BUL72,NA,4,NA,0,NA,0,NA,1154
1981,9,1154_1981,4,11,2,BUL72,NA,4,NA,1,NA,1,NA,1154
1982,10,1154_1982,4,11,2,BUL72,NA,4,NA,0,NA,0,NA,1154
1983,11,1154_1983,4.125,11,2,BUL72,NA,4.125,NA,0,NA,0,NA,1154
1975,5,2848_1975,3,7,1,CAI70,3,NA,NA,NA,NA,NA,NA,2848
1974,4,2848_1974,5.125,7,1,CAI70,5.125,NA,NA,NA,NA,NA,NA,2848
1977,7,2848_1977,5,7,1,CAI70,5,NA,NA,NA,NA,NA,NA,2848
1973,3,2848_1973,4.5,7,1,CAI70,4.5,NA,NA,NA,NA,NA,NA,2848
2021,6,116_2021,3.5,6,1,CDN15,3.5,NA,NA,NA,NA,NA,NA,116
2018,3,116_2018,3,6,1,CDN15,3,NA,NA,0,0,NA,NA,116
2020,5,116_2020,4,6,1,CDN15,4,NA,NA,0,0,NA,NA,116
1996,9,1498_1996,4,10,2,CFU87,NA,4,NA,0,NA,0,NA,1498
1990,3,1498_1990,3.5,10,1,CFU87,3.5,NA,NA,0,0,NA,NA,1498
1991,4,1498_1991,4,10,1,CFU87,4,NA,NA,0,0,NA,NA,1498
1992,5,1498_1992,4.5,10,1,CFU87,4.5,NA,NA,0,0,NA,NA,1498
1993,6,1498_1993,4,10,1,CFU87,4,NA,NA,0,0,NA,NA,1498
1994,7,1498_1994,5.125,10,1,CFU87,5.125,NA,NA,0,0,NA,NA,1498
1995,8,1498_1995,4.5,10,2,CFU87,NA,4.5,NA,0,NA,0,NA,1498
1997,10,1498_1997,4.125,10,2,CFU87,NA,4.125,NA,NA,NA,NA,NA,1498
1996,14,3619_1996,5,14,3,CHE82,NA,NA,5,0,NA,NA,0,3619
1985,3,3619_1985,4.25,14,1,CHE82,4.25,NA,NA,NA,NA,NA,NA,3619
1986,4,3619_1986,5,14,1,CHE82,5,NA,NA,NA,NA,NA,NA,3619
1987,5,3619_1987,5,14,1,CHE82,5,NA,NA,1,1,NA,NA,3619
1988,6,3619_1988,5.5,14,1,CHE82,5.5,NA,NA,0,0,NA,NA,3619
1989,7,3619_1989,6.75,14,1,CHE82,6.75,NA,NA,1,1,NA,NA,3619
1990,8,3619_1990,6.375,14,2,CHE82,NA,6.375,NA,3,NA,3,NA,3619
1991,9,3619_1991,6.5,14,2,CHE82,NA,6.5,NA,3,NA,3,NA,3619
1992,10,3619_1992,6.625,14,2,CHE82,NA,6.625,NA,2,NA,2,NA,3619
1993,11,3619_1993,5.5,14,2,CHE82,NA,5.5,NA,2,NA,2,NA,3619
1994,12,3619_1994,6,14,3,CHE82,NA,NA,6,2,NA,NA,2,3619
1995,13,3619_1995,6.5,14,3,CHE82,NA,NA,6.5,0,NA,NA,0,3619
1976,4,22_1976,2.5,9,1,CHO72,2.5,NA,NA,NA,NA,NA,NA,22
1978,6,22_1978,4.625,9,1,CHO72,4.625,NA,NA,NA,NA,NA,NA,22
1979,7,22_1979,4.625,9,1,CHO72,4.625,NA,NA,NA,NA,NA,NA,22
1980,8,22_1980,4.625,9,2,CHO72,NA,4.625,NA,NA,NA,NA,NA,22
1981,9,22_1981,4,9,2,CHO72,NA,4,NA,NA,NA,NA,NA,22
1977,5,22_1977,5.5,9,1,CHO72,5.5,NA,NA,NA,NA,NA,NA,22
1976,4,2071_1976,2.5,9,1,CLE72,2.5,NA,NA,NA,NA,NA,NA,2071
1977,5,2071_1977,5.5,9,1,CLE72,5.5,NA,NA,0,0,NA,NA,2071
1978,6,2071_1978,5.5,9,1,CLE72,5.5,NA,NA,1,1,NA,NA,2071
1979,7,2071_1979,6,9,1,CLE72,6,NA,NA,3,3,NA,NA,2071
1980,8,2071_1980,6,9,2,CLE72,NA,6,NA,3,NA,3,NA,2071
1981,9,2071_1981,6,9,2,CLE72,NA,6,NA,2,NA,2,NA,2071
2007,12,3809_2007,2.5,12,3,CLO95,NA,NA,2.5,NA,NA,NA,NA,3809
1998,3,3809_1998,3,12,1,CLO95,3,NA,NA,0,0,NA,NA,3809
2000,5,3809_2000,3,12,1,CLO95,3,NA,NA,0,0,NA,NA,3809
2003,8,3809_2003,4,12,2,CLO95,NA,4,NA,0,NA,0,NA,3809
2005,10,3809_2005,2.5,12,2,CLO95,NA,2.5,NA,1,NA,1,NA,3809
2004,9,3809_2004,3.5,12,2,CLO95,NA,3.5,NA,0,NA,0,NA,3809
2002,7,3809_2002,3,12,1,CLO95,3,NA,NA,0,0,NA,NA,3809
2001,6,3809_2001,3,12,1,CLO95,3,NA,NA,0,0,NA,NA,3809
1999,4,3809_1999,3,12,1,CLO95,3,NA,NA,0,0,NA,NA,3809
2021,5,3268_2021,6,5,1,CLS16,6,NA,NA,NA,NA,NA,NA,3268
2019,3,3268_2019,5,5,1,CLS16,5,NA,NA,0,0,NA,NA,3268
2020,4,3268_2020,5.5,5,1,CLS16,5.5,NA,NA,0,0,NA,NA,3268
2017,17,4107_2017,5,17,3,CLW00,NA,NA,5,NA,NA,NA,NA,4107
2004,4,4107_2004,4.5,17,1,CLW00,4.5,NA,NA,NA,NA,NA,NA,4107
2010,10,4107_2010,4.5,17,2,CLW00,NA,4.5,NA,2,NA,2,NA,4107
2009,9,4107_2009,5,17,2,CLW00,NA,5,NA,5,NA,5,NA,4107
2008,8,4107_2008,5,17,2,CLW00,NA,5,NA,0,NA,0,NA,4107
2007,7,4107_2007,5,17,1,CLW00,5,NA,NA,2,2,NA,NA,4107
2006,6,4107_2006,5,17,1,CLW00,5,NA,NA,1,1,NA,NA,4107
2005,5,4107_2005,4.5,17,1,CLW00,4.5,NA,NA,NA,NA,NA,NA,4107
2003,3,4107_2003,4.5,17,1,CLW00,4.5,NA,NA,NA,NA,NA,NA,4107
2014,14,4107_2014,5,17,3,CLW00,NA,NA,5,0,NA,NA,0,4107
2011,11,4107_2011,5.5,17,2,CLW00,NA,5.5,NA,4,NA,4,NA,4107
2012,12,4107_2012,5,17,3,CLW00,NA,NA,5,4,NA,NA,4,4107
2013,13,4107_2013,5,17,3,CLW00,NA,NA,5,1,NA,NA,1,4107
2015,15,4107_2015,4.5,17,3,CLW00,NA,NA,4.5,3,NA,NA,3,4107
2016,16,4107_2016,5,17,3,CLW00,NA,NA,5,0,NA,NA,0,4107
1976,6,5507_1976,2.25,10,1,CLYDE,2.25,NA,NA,0,0,NA,NA,5507
1974,4,5507_1974,4,10,1,CLYDE,4,NA,NA,NA,NA,NA,NA,5507
1975,5,5507_1975,5,10,1,CLYDE,5,NA,NA,0,0,NA,NA,5507
1977,7,5507_1977,5,10,1,CLYDE,5,NA,NA,0,0,NA,NA,5507
1978,8,5507_1978,6,10,2,CLYDE,NA,6,NA,0,NA,0,NA,5507
1979,9,5507_1979,4.75,10,2,CLYDE,NA,4.75,NA,NA,NA,NA,NA,5507
1980,10,5507_1980,5,10,2,CLYDE,NA,5,NA,NA,NA,NA,NA,5507
1973,3,5507_1973,4.5,10,1,CLYDE,4.5,NA,NA,NA,NA,NA,NA,5507
2021,7,2195_2021,4,7,1,CMA14,4,NA,NA,NA,NA,NA,NA,2195
2017,3,2195_2017,2,7,1,CMA14,2,NA,NA,0,0,NA,NA,2195
2018,4,2195_2018,3,7,1,CMA14,3,NA,NA,0,0,NA,NA,2195
2019,5,2195_2019,3,7,1,CMA14,3,NA,NA,0,0,NA,NA,2195
2020,6,2195_2020,4,7,1,CMA14,4,NA,NA,0,0,NA,NA,2195
2007,5,2511_2007,3.5,5,1,CMR02,3.5,NA,NA,NA,NA,NA,NA,2511
2005,3,2511_2005,3,5,1,CMR02,3,NA,NA,NA,NA,NA,NA,2511
2006,4,2511_2006,3.5,5,1,CMR02,3.5,NA,NA,0,0,NA,NA,2511
2016,9,3064_2016,5,9,2,CND07,NA,5,NA,NA,NA,NA,NA,3064
2010,3,3064_2010,4,9,1,CND07,4,NA,NA,NA,NA,NA,NA,3064
2014,7,3064_2014,5.5,9,1,CND07,5.5,NA,NA,0,0,NA,NA,3064
2011,4,3064_2011,4,9,1,CND07,4,NA,NA,NA,NA,NA,NA,3064
2012,5,3064_2012,5.5,9,1,CND07,5.5,NA,NA,0,0,NA,NA,3064
2013,6,3064_2013,5,9,1,CND07,5,NA,NA,NA,NA,NA,NA,3064
2015,8,3064_2015,5,9,2,CND07,NA,5,NA,0,NA,0,NA,3064
1976,8,4942_1976,2.5,12,2,CONAR,NA,2.5,NA,NA,NA,NA,NA,4942
1974,6,4942_1974,4.5,12,1,CONAR,4.5,NA,NA,NA,NA,NA,NA,4942
1975,7,4942_1975,4.5,12,1,CONAR,4.5,NA,NA,NA,NA,NA,NA,4942
1977,9,4942_1977,5,12,2,CONAR,NA,5,NA,NA,NA,NA,NA,4942
1978,10,4942_1978,5,12,2,CONAR,NA,5,NA,NA,NA,NA,NA,4942
1979,11,4942_1979,4.5,12,2,CONAR,NA,4.5,NA,NA,NA,NA,NA,4942
1980,12,4942_1980,5,12,3,CONAR,NA,NA,5,NA,NA,NA,NA,4942
1973,5,4942_1973,4.5,12,1,CONAR,4.5,NA,NA,NA,NA,NA,NA,4942
1988,4,107_1988,4,9,1,CROSS,4,NA,NA,NA,NA,NA,NA,107
1993,9,107_1993,6,9,2,CROSS,NA,6,NA,6,NA,6,NA,107
1992,8,107_1992,6,9,2,CROSS,NA,6,NA,4,NA,4,NA,107
1975,3,315_1975,2.5,9,1,CRT72,2.5,NA,NA,NA,NA,NA,NA,315
1977,5,315_1977,5.5,9,1,CRT72,5.5,NA,NA,1,1,NA,NA,315
1978,6,315_1978,5.125,9,1,CRT72,5.125,NA,NA,0,0,NA,NA,315
1979,7,315_1979,4.875,9,1,CRT72,4.875,NA,NA,2,2,NA,NA,315
1980,8,315_1980,5.75,9,2,CRT72,NA,5.75,NA,2,NA,2,NA,315
1981,9,315_1981,5,9,2,CRT72,NA,5,NA,5,NA,5,NA,315
2008,15,4063_2008,5.5,15,3,CSK93,NA,NA,5.5,NA,NA,NA,NA,4063
1996,3,4063_1996,2,15,1,CSK93,2,NA,NA,0,0,NA,NA,4063
1997,4,4063_1997,2,15,1,CSK93,2,NA,NA,0,0,NA,NA,4063
1998,5,4063_1998,3.5,15,1,CSK93,3.5,NA,NA,2,2,NA,NA,4063
1999,6,4063_1999,5,15,1,CSK93,5,NA,NA,0,0,NA,NA,4063
2000,7,4063_2000,4.625,15,1,CSK93,4.625,NA,NA,1,1,NA,NA,4063
2001,8,4063_2001,4,15,2,CSK93,NA,4,NA,4,NA,4,NA,4063
2002,9,4063_2002,5,15,2,CSK93,NA,5,NA,2,NA,2,NA,4063
2003,10,4063_2003,6,15,2,CSK93,NA,6,NA,5,NA,5,NA,4063
2004,11,4063_2004,6,15,2,CSK93,NA,6,NA,3,NA,3,NA,4063
2005,12,4063_2005,5.5,15,3,CSK93,NA,NA,5.5,7,NA,NA,7,4063
2006,13,4063_2006,4.5,15,3,CSK93,NA,NA,4.5,0,NA,NA,0,4063
2007,14,4063_2007,5.5,15,3,CSK93,NA,NA,5.5,NA,NA,NA,NA,4063
2008,9,1359_2008,4,9,2,CSK99,NA,4,NA,NA,NA,NA,NA,1359
2003,4,1359_2003,4,9,1,CSK99,4,NA,NA,NA,NA,NA,NA,1359
2007,8,1359_2007,4,9,2,CSK99,NA,4,NA,0,NA,0,NA,1359
2006,7,1359_2006,4,9,1,CSK99,4,NA,NA,NA,NA,NA,NA,1359
2002,3,1359_2002,2,9,1,CSK99,2,NA,NA,NA,NA,NA,NA,1359
2013,4,5386_2013,2.75,4,1,DAW09,2.75,NA,NA,NA,NA,NA,NA,5386
2012,3,5386_2012,2.5,4,1,DAW09,2.5,NA,NA,0,0,NA,NA,5386
1973,3,2972_1973,4,11,1,DICKS,4,NA,NA,NA,NA,NA,NA,2972
1976,6,2972_1976,2.5,11,1,DICKS,2.5,NA,NA,NA,NA,NA,NA,2972
1974,4,2972_1974,4,11,1,DICKS,4,NA,NA,NA,NA,NA,NA,2972
1975,5,2972_1975,4.5,11,1,DICKS,4.5,NA,NA,NA,NA,NA,NA,2972
1977,7,2972_1977,5,11,1,DICKS,5,NA,NA,NA,NA,NA,NA,2972
1979,9,2972_1979,4,11,2,DICKS,NA,4,NA,NA,NA,NA,NA,2972
1980,10,2972_1980,5,11,2,DICKS,NA,5,NA,NA,NA,NA,NA,2972
1981,11,2972_1981,4,11,2,DICKS,NA,4,NA,NA,NA,NA,NA,2972
1978,8,2972_1978,5,11,2,DICKS,NA,5,NA,NA,NA,NA,NA,2972
2007,8,5241_2007,5,8,2,DIL99,NA,5,NA,NA,NA,NA,NA,5241
2004,5,5241_2004,5,8,1,DIL99,5,NA,NA,1,1,NA,NA,5241
2006,7,5241_2006,5,8,1,DIL99,5,NA,NA,NA,NA,NA,NA,5241
2003,4,5241_2003,4.5,8,1,DIL99,4.5,NA,NA,0,0,NA,NA,5241
1998,4,104_1998,5,13,1,DPU94,5,NA,NA,0,0,NA,NA,104
2000,6,104_2000,6.5,13,1,DPU94,6.5,NA,NA,1,1,NA,NA,104
2001,7,104_2001,6,13,1,DPU94,6,NA,NA,0,0,NA,NA,104
2004,10,104_2004,8,13,2,DPU94,NA,8,NA,1,NA,1,NA,104
2005,11,104_2005,7,13,2,DPU94,NA,7,NA,3,NA,3,NA,104
2006,12,104_2006,5,13,3,DPU94,NA,NA,5,NA,NA,NA,NA,104
2007,13,104_2007,6,13,3,DPU94,NA,NA,6,0,NA,NA,0,104
2003,9,104_2003,6.5,13,2,DPU94,NA,6.5,NA,1,NA,1,NA,104
2002,8,104_2002,7.5,13,2,DPU94,NA,7.5,NA,1,NA,1,NA,104
1999,5,104_1999,5,13,1,DPU94,5,NA,NA,0,0,NA,NA,104
2021,7,2417_2021,5,7,1,DRE14,5,NA,NA,NA,NA,NA,NA,2417
2017,3,2417_2017,5.5,7,1,DRE14,5.5,NA,NA,0,0,NA,NA,2417
1999,4,523_1999,3,5,1,DUMPY,3,NA,NA,NA,NA,NA,NA,523
2000,5,523_2000,4.5,5,1,DUMPY,4.5,NA,NA,NA,NA,NA,NA,523
2007,14,464_2007,6,14,3,EGR93,NA,NA,6,NA,NA,NA,NA,464
1996,3,464_1996,4,14,1,EGR93,4,NA,NA,NA,NA,NA,NA,464
1997,4,464_1997,5,14,1,EGR93,5,NA,NA,0,0,NA,NA,464
1998,5,464_1998,5,14,1,EGR93,5,NA,NA,1,1,NA,NA,464
2000,7,464_2000,5,14,1,EGR93,5,NA,NA,0,0,NA,NA,464
2001,8,464_2001,5.5,14,2,EGR93,NA,5.5,NA,1,NA,1,NA,464
2003,10,464_2003,5.5,14,2,EGR93,NA,5.5,NA,1,NA,1,NA,464
2004,11,464_2004,5,14,2,EGR93,NA,5,NA,1,NA,1,NA,464
2005,12,464_2005,6,14,3,EGR93,NA,NA,6,2,NA,NA,2,464
2002,9,464_2002,5,14,2,EGR93,NA,5,NA,1,NA,1,NA,464
1999,6,464_1999,5.5,14,1,EGR93,5.5,NA,NA,0,0,NA,NA,464
2008,13,2269_2008,5.5,13,3,EGR95,NA,NA,5.5,NA,NA,NA,NA,2269
1998,3,2269_1998,3,13,1,EGR95,3,NA,NA,0,0,NA,NA,2269
1999,4,2269_1999,4.75,13,1,EGR95,4.75,NA,NA,NA,NA,NA,NA,2269
2000,5,2269_2000,5,13,1,EGR95,5,NA,NA,0,0,NA,NA,2269
2001,6,2269_2001,5,13,1,EGR95,5,NA,NA,1,1,NA,NA,2269
2002,7,2269_2002,5.5,13,1,EGR95,5.5,NA,NA,1,1,NA,NA,2269
2003,8,2269_2003,6,13,2,EGR95,NA,6,NA,0,NA,0,NA,2269
2004,9,2269_2004,5.75,13,2,EGR95,NA,5.75,NA,0,NA,0,NA,2269
2005,10,2269_2005,5.5,13,2,EGR95,NA,5.5,NA,1,NA,1,NA,2269
2006,11,2269_2006,5,13,2,EGR95,NA,5,NA,1,NA,1,NA,2269
2007,12,2269_2007,5.5,13,3,EGR95,NA,NA,5.5,0,NA,NA,0,2269
1976,12,42_1976,2.5,14,3,ETHEL,NA,NA,2.5,NA,NA,NA,NA,42
1974,10,42_1974,5.5,14,2,ETHEL,NA,5.5,NA,NA,NA,NA,NA,42
1975,11,42_1975,5.5,14,2,ETHEL,NA,5.5,NA,NA,NA,NA,NA,42
1977,13,42_1977,5,14,3,ETHEL,NA,NA,5,NA,NA,NA,NA,42
1978,14,42_1978,4.5,14,3,ETHEL,NA,NA,4.5,NA,NA,NA,NA,42
1973,9,42_1973,6,14,2,ETHEL,NA,6,NA,NA,NA,NA,NA,42
1976,10,2958_1976,2.5,13,2,FERDI,NA,2.5,NA,NA,NA,NA,NA,2958
1974,8,2958_1974,6,13,2,FERDI,NA,6,NA,NA,NA,NA,NA,2958
1975,9,2958_1975,5.5,13,2,FERDI,NA,5.5,NA,NA,NA,NA,NA,2958
1977,11,2958_1977,6,13,2,FERDI,NA,6,NA,NA,NA,NA,NA,2958
1978,12,2958_1978,4.5,13,3,FERDI,NA,NA,4.5,NA,NA,NA,NA,2958
1979,13,2958_1979,4.625,13,3,FERDI,NA,NA,4.625,NA,NA,NA,NA,2958
1973,7,2958_1973,6,13,1,FERDI,6,NA,NA,NA,NA,NA,NA,2958
2001,4,2207_2001,3,4,1,FOU97,3,NA,NA,NA,NA,NA,NA,2207
2000,3,2207_2000,2,4,1,FOU97,2,NA,NA,0,0,NA,NA,2207
2007,11,3359_2007,4,11,2,FRA96,NA,4,NA,NA,NA,NA,NA,3359
1999,3,3359_1999,4,11,1,FRA96,4,NA,NA,0,0,NA,NA,3359
2001,5,3359_2001,4,11,1,FRA96,4,NA,NA,0,0,NA,NA,3359
2002,6,3359_2002,4.75,11,1,FRA96,4.75,NA,NA,0,0,NA,NA,3359
2003,7,3359_2003,5,11,1,FRA96,5,NA,NA,4,4,NA,NA,3359
2004,8,3359_2004,4,11,2,FRA96,NA,4,NA,4,NA,4,NA,3359
2005,9,3359_2005,4.75,11,2,FRA96,NA,4.75,NA,1,NA,1,NA,3359
2006,10,3359_2006,4.25,11,2,FRA96,NA,4.25,NA,3,NA,3,NA,3359
2000,4,3359_2000,4,11,1,FRA96,4,NA,NA,0,0,NA,NA,3359
1988,3,3186_1988,4.5,4,1,FRE85,4.5,NA,NA,NA,NA,NA,NA,3186
1989,4,3186_1989,5,4,1,FRE85,5,NA,NA,NA,NA,NA,NA,3186
