animal,dam,sire
5340,NA,NA
3429,NA,NA
5281,NA,NA
5636,NA,NA
1994,NA,NA
1272,NA,NA
3991,NA,NA
3817,NA,NA
2837,NA,NA
635,NA,NA
2801,NA,NA
4085,NA,NA
5163,NA,NA
2621,NA,NA
4882,NA,NA
1436,NA,NA
2854,NA,NA
1769,NA,NA
3920,NA,NA
2040,NA,NA
487,NA,NA
1445,NA,NA
181,NA,NA
484,NA,NA
4778,NA,NA
4048,NA,NA
5108,NA,NA
651,NA,NA
5938,NA,NA
115,NA,NA
4650,NA,NA
3953,NA,NA
4153,NA,NA
2591,NA,NA
4666,NA,NA
3424,NA,NA
4571,NA,NA
2661,NA,NA
1805,NA,NA
5847,NA,NA
1811,NA,NA
1408,NA,NA
574,NA,NA
4592,NA,NA
792,NA,NA
2267,NA,NA
3908,NA,NA
1791,NA,NA
4042,NA,NA
1657,NA,NA
5715,NA,NA
1547,NA,NA
2220,NA,NA
197,NA,NA
990,NA,NA
879,NA,NA
111,NA,NA
3673,NA,NA
933,NA,NA
1289,NA,NA
4777,NA,NA
3065,NA,NA
3948,NA,NA
1023,NA,NA
2203,NA,NA
3179,NA,NA
513,NA,NA
4083,NA,NA
5046,NA,NA
3789,NA,NA
4558,NA,NA
3735,NA,NA
2864,NA,NA
5612,NA,NA
3708,NA,NA
5844,NA,NA
2153,NA,NA
5444,NA,NA
993,NA,NA
5530,NA,NA
2124,NA,NA
4185,NA,NA
2032,NA,NA
2871,NA,NA
643,NA,NA
1990,NA,NA
3695,NA,NA
966,NA,NA
4513,NA,NA
5396,NA,NA
1787,NA,NA
1782,NA,NA
1793,NA,NA
1927,NA,NA
5089,NA,NA
3212,NA,NA
5603,NA,NA
705,NA,NA
1005,NA,NA
5719,NA,NA
4410,NA,NA
907,NA,NA
1213,NA,NA
4625,NA,NA
1003,NA,NA
1964,NA,NA
959,NA,NA
5363,NA,NA
3241,NA,NA
1486,NA,NA
922,NA,NA
890,NA,NA
2290,NA,NA
472,NA,NA
825,NA,NA
4365,NA,NA
666,NA,NA
3423,NA,NA
3656,NA,NA
2747,NA,NA
2702,NA,NA
3184,NA,NA
3364,NA,NA
4546,NA,NA
5480,NA,NA
1127,NA,NA
4758,NA,NA
4787,NA,NA
1891,NA,NA
920,NA,NA
3283,NA,NA
2155,NA,NA
3026,NA,NA
